player_id,x,y,cluster,name,position,archetype
23981.0,0.46337122,-2.2453876,4,Álvaro Tejero Sacristán,Right Back,Creative playmaker
11392.0,0.5817183,-3.1154566,3,Arthur Henrique Ramos de Oliveira Melo,Left Center Midfield,Possession system elite
23803.0,-2.9217393,1.3350424,10,Esteban Rodrigo Burgos,Right Center Back,Aerial commander
6698.0,15.727523,2.158156,0,Marko Dmitrović,Goalkeeper,Shot-stopper
8555.0,0.336648,1.8900056,-1,Pablo Ezequiel De Blasis,Left Wing,Uncategorised
8118.0,0.70317346,-3.0440927,3,Frenkie de Jong,Left Center Midfield,Possession system elite
5492.0,-0.33883458,-3.1539388,3,Samuel Yves Umtiti,Left Center Back,Possession system elite
4447.0,2.987647,3.6303325,5,Martin Braithwaite Christensen,Left Wing,Wide progressive
6851.0,0.7698877,9.456612,1,Aitor Ruibal García,Right Wing Back,Generalist
11730.0,0.24442798,10.138793,1,Jonathan Cristian Silva,Left Wing Back,Generalist
6598.0,-0.20840049,10.30833,1,Unai Bustinza Martínez,Left Center Back,Generalist
3139.0,-1.5742347,4.8991985,6,Chidozie Collins Awaziem,Right Center Back,Defensive anchor
30756.0,2.6969435,0.46909815,4,Anssumane Fati,Left Wing,Creative playmaker
17818.0,-3.4303985,4.2885685,7,Rodrigo Tarín Higón,Center Back,Aggressive stopper
3246.0,1.3517381,9.14343,1,Guido Marcelo Carrillo,Right Center Forward,Generalist
16024.0,2.4466863,6.4278164,2,Roger Claver Assalé Djapone,Left Center Forward,Box-to-box engine
24841.0,2.3660448,-0.24024035,4,Ricard Puig Martí,Left Center Midfield,Creative playmaker
6885.0,1.0105171,6.1341615,2,Kévin Manuel Rodrigues,Left Wing Back,Box-to-box engine
11332.0,3.399443,2.9593663,5,Ibrahim Amadou,Center Attacking Midfield,Wide progressive
16555.0,-0.34366375,4.1719327,6,Joseph Aidoo,Right Center Back,Defensive anchor
5194.0,1.0542983,9.675585,1,Fyodor Smolov,Left Center Forward,Generalist
6799.0,0.47549903,9.796361,1,Brais Méndez Portela,Left Center Forward,Generalist
24273.0,-0.09792575,10.407075,1,Jorge Sáenz de Miera Colmeiro,Left Center Back,Generalist
11388.0,-1.2599729,2.4115572,6,Néstor Alejandro Araújo Razo,Center Back,Defensive anchor
22029.0,1.3895439,7.0052958,2,Kevin Vázquez Comesaña,Right Wing Back,Box-to-box engine
12555.0,0.86981493,9.535239,1,Okay Yokuşlu,Center Defensive Midfield,Generalist
41116.0,0.7900231,3.578213,6,Jacobo González Rodrigañez,Left Wing Back,Defensive anchor
