matrix_row,player_id,label,archetype,name,position,x,y
406,6792,0,Shot-stopper,Pau López Sabata,Goalkeeper,14.429688,4.575823
407,5719,5,Wide progressive,Marco Asensio Willemsen,Center Attacking Midfield,1.982974,1.2646683
408,6675,9,Attacking fullback,Antonio Manuel Luna Rodríguez,Left Back,-1.1751946,1.4638958
409,6766,5,Wide progressive,Gerard Moreno Balaguero,Center Forward,2.8954313,2.2773628
410,5598,8,Stopper CB,Óscar Esau Duarte Gaitán,Left Center Back,-2.7969956,2.9713314
411,6791,6,Defensive anchor,Javier López Rodríguez,Right Back,-0.8515695,2.765239
412,6838,5,Wide progressive,Hernán Arsenio Pérez González,Right Wing,2.9810092,2.6497629
413,23974,5,Wide progressive,Roberto Antonio Correa Silva,Right Back,0.13750075,-0.09371432
414,23924,1,Generalist,Mamadou Sylla Diallo,Center Forward,1.2544858,9.010297
415,6934,4,Creative playmaker,Jerónimo Figueroa Cabrera,Left Midfield,1.2485739,-2.1255703
416,7692,3,Possession system elite,Mauricio Lemos Merladet,Right Center Back,-1.2940023,-2.1927328
417,7905,0,Shot-stopper,Raúl Lizoáin Cruz,Goalkeeper,15.088074,3.248735
418,6928,4,Creative playmaker,Pedro Taunausú Domínguez Placeres,Center Attacking Midfield,2.3595521,0.8104102
419,6927,3,Possession system elite,David García Santana,Right Back,-1.5747656,-1.4705715
420,6721,5,Wide progressive,Willian José da Silva,Center Forward,3.1893468,2.641752
421,13107,2,Box-to-box engine,Sergio Álvarez Díaz,Right Defensive Midfield,0.88385826,6.1784916
422,24263,6,Defensive anchor,Ismael López Blanco,Left Back,-0.45326397,2.4231389
423,8818,10,Aerial commander,Jorge Meré Pérez,Left Center Back,-2.79948,1.9430512
424,6610,0,Shot-stopper,Iván Cuéllar Sacristán,Goalkeeper,14.145995,5.0614433
425,6602,1,Generalist,Miguel Ángel Guerrero Martín,Center Forward,0.82326573,10.453156
426,6860,0,Shot-stopper,Mariano Damián Barbosa,Goalkeeper,15.779882,1.806093
427,6561,10,Aerial commander,Luis Hernández Rodríguez,Right Center Back,-3.038911,0.60318977
428,6581,5,Wide progressive,Jonathan Rodríguez Menéndez,Left Wing,1.6901573,0.8848803
429,27526,6,Defensive anchor,Rachid Aït-Atmane,Left Defensive Midfield,0.68852377,3.9170988
430,6880,2,Box-to-box engine,Arnaldo Antonio Sanabria Ayala,Center Forward,2.5223522,5.166589
431,26633,9,Attacking fullback,Alberto Lora Ramos,Right Back,-1.2384374,1.2073449
432,5588,9,Attacking fullback,Antonio Rukavina,Left Back,-1.0600468,0.021444952
433,6827,3,Possession system elite,Daniele Bonera,Right Center Back,-1.5041231,-1.5413886
434,23848,2,Box-to-box engine,Carlos Carmona Bonet,Right Wing,1.2486858,6.2381377
435,18867,5,Wide progressive,Matías Nahuel Leiva Esquivel,Right Midfield,2.5983531,3.1166883
436,24173,5,Wide progressive,Carlos Castro García,Center Forward,3.1880352,3.588997
437,6926,4,Creative playmaker,Alen Halilović,Center Attacking Midfield,1.7769433,-1.6966244
438,6862,2,Box-to-box engine,Cédric Bakambu,Left Center Forward,2.4968443,5.7384524
439,25057,1,Generalist,Alejandro Barrera García,Center Attacking Midfield,0.6506788,9.594121
440,4711,5,Wide progressive,Pablo Hernández Domínguez,Center Attacking Midfield,0.9100785,0.13262275
441,11298,9,Attacking fullback,José Ignacio Martínez García,Left Back,-1.2012037,1.4736625
442,10612,0,Shot-stopper,Yoel Rodríguez Oterino,Goalkeeper,15.661078,2.2772233
443,6713,9,Attacking fullback,Diego Javier Llorente Ríos,Right Center Back,-0.78360397,0.2486869
444,11539,5,Wide progressive,Adrián Embarba Blázquez,Right Wing,1.9515301,1.5821354
445,26685,1,Generalist,Nicolás Ladislao Fedor Flores,Center Forward,1.647614,8.293328
446,11542,5,Wide progressive,Javier Guerra Rodríguez,Center Forward,3.1807683,4.3366814
447,10727,3,Possession system elite,Răzvan Dincă Raț,Left Back,-1.5334961,-1.4975388
448,27349,8,Stopper CB,Heiko Westermann,Left Center Back,-3.0459597,2.4310536
449,8803,0,Shot-stopper,Daniel Giménez Hernández,Goalkeeper,14.362536,4.6910324
450,6832,4,Creative playmaker,Rubén Castro Martín,Center Forward,1.8729901,-1.7930759
451,27402,7,Aggressive stopper,Álvaro Daniel Pereira Barragán,Left Back,-2.187307,4.243166
452,7161,8,Stopper CB,Germán Alejandro Pezzella,Right Center Back,-2.9043722,2.3548696
453,27347,3,Possession system elite,Juan Manuel Vargas Risco,Left Back,-1.6114943,-1.527579
454,5671,2,Box-to-box engine,Alfred John Momar N''Diaye,Left Defensive Midfield,0.9246439,6.085968
455,6697,5,Wide progressive,Daniel Ceballos Fernández,Center Attacking Midfield,1.7886232,0.80629694
456,27346,2,Box-to-box engine,Petros Matheus dos Santos Araújo,Right Defensive Midfield,1.5000168,6.921734
